Case Number,City,Zip,Date Filed,Date Closed,Case Type,Type of Complaint,Case Disposition,Location
40858,MONTGOMERY VILLAGE,20886,07/31/2020,08/05/2020,OLTA-TMF,Lease Agreement Tenant Rights,Referred to a MD State Government agency,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
35370,Silver Spring,20906,08/17/2015,09/14/2015,OLTA-TMF,Rent Increase,Service performed or corrected,"Silver Spring 20906
(39.083452, -77.060664)"
30289,Silver Spring,20904,07/24/2008,07/24/2008,OLTA-TMF,Fee,Refund (payments/deposits),"Silver Spring 20904
(39.066507, -76.979098)"
40612,SILVER SPRING,20902,02/20/2020,03/25/2020,OLTA-TMF,Rent Increase,Service performed or corrected,"SILVER SPRING 20902
(39.042613, -77.046758)"
32366,Silver Spring,20906,02/25/2011,03/07/2011,OLTA-TMF,Lease Agreement,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
34384,Silver Spring,20910,03/27/2014,04/27/2014,OLTA-TMF,Fee,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
39623,BETHESDA,20817,11/14/2018,06/05/2019,OLTA-TMF,Security Deposit,Refund (payments/deposits),"BETHESDA 20817
(38.998099, -77.143306)"
34026,Bethesda,20816,08/26/2013,09/25/2013,OLTA-TSF,Security Deposit,Referred to a MD State Government agency,"Bethesda 20816
(38.958638, -77.115455)"
32283,Rockville,20852,01/19/2011,01/19/2011,OLTA-TMF,No Jurisdiction-Geographical,Non-jurisdiction-Geographic Location,"Rockville 20852
(39.050009, -77.125351)"
39454,SILVER SPRING,20901,09/10/2018,09/12/2018,OLTA-MCMF,Lease Agreement,Complaint noted for the record,"SILVER SPRING 20901
(39.020211, -77.009764)"
33054,Gaithersburg,20879,01/17/2012,01/18/2012,OLTA-TMF,No Jurisdiction-Geographical,Non-jurisdiction-Geographic Location,"Gaithersburg 20879
(39.169098, -77.182742)"
40956,ROCKVILLE,20853,09/23/2020,12/01/2020,OLTA-TSF,Security Deposit,Settlement Agreement,"ROCKVILLE 20853
(39.096485, -77.092945)"
34301,Rockville,20853,01/30/2014,02/05/2014,OLTA-LSF,Quit and Vacate,Referred to a MD State Government agency,"Rockville 20853
(39.096485, -77.092945)"
39744,TAKOMA PARK,20912,01/16/2019,02/25/2019,OLTA-TMF,Quit and Vacate,Other- no communication from tenant,"TAKOMA PARK 20912
(38.982019, -77.000534)"
41674,ROCKVILLE,20852,10/15/2021,12/21/2021,OLTA-TSF,Security Deposit,Settlement Agreement,"ROCKVILLE 20852
(39.050009, -77.125351)"
40564,SILVER SPRING,20910,01/30/2020,04/29/2020,OLTA-TSF,Lease Agreement,Referred to Landlord-Tenant Commission,"SILVER SPRING 20910
(39.001851, -77.034885)"
35021,Silver Spring,20902,02/04/2015,03/13/2015,OLTA-TMF,Lease Agreement,Lease completion,"Silver Spring 20902
(39.042613, -77.046758)"
31899,Gaithersburg,20878,08/17/2010,09/17/2010,OLTA-TMF,Rent Payment History,Acceptable explanation,"Gaithersburg 20878
(39.114215, -77.239673)"
40053,ROCKVILLE,20851,06/20/2019,06/20/2019,OLTA-TMF,Security Deposit,Non-jurisdiction-Geographic Location,"ROCKVILLE 20851
(39.07701, -77.123831)"
41183,ROCKVILLE,20852,02/03/2021,02/08/2021,OLTA-TMF,Security Deposit,Refund (payments/deposits),"ROCKVILLE 20852
(39.050009, -77.125351)"
40597,Silver Spring,209011306,02/10/2020,04/16/2020,OLTA-TMF,Fee,Other- no communication from tenant,"Silver Spring 209011306
(39.039421, -76.99509)"
34151,Bethesda,20814,10/21/2013,11/01/2013,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Bethesda 20814
(39.003061, -77.102949)"
32834,Germantown,20876,10/07/2011,11/29/2011,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Germantown 20876
(39.198155, -77.240725)"
34016,Clarksburg,20871,08/16/2013,08/19/2013,OLTA-LSF,Lease Agreement,Referred to a Montgomery County Agency,"Clarksburg 20871
(39.250697, -77.27543)"
35861,Bethesda,20816,05/19/2016,06/23/2016,OLTA-TSF,Quit and Vacate,Acceptable explanation,"Bethesda 20816
(38.958638, -77.115455)"
33227,Germantown,20876,05/17/2012,06/01/2012,OLTA-TSF,Security Deposit,Settlement Agreement,"Germantown 20876
(39.198155, -77.240725)"
36233,Silver Spring,20904,11/28/2016,06/21/2017,OLTA-TSF,Harassment,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
31216,Silver Spring,20903,10/23/2009,10/28/2009,OLTA-TMF,Lease Agreement,No jurisdiction,"Silver Spring 20903
(39.016139, -76.982897)"
33194,Derwood,20855,04/19/2012,05/24/2012,OLTA-TSF,Security Deposit,Settlement Agreement,"Derwood 20855
(39.134606, -77.141459)"
46619,SILVER SPRING,20906,10/11/2022,10/12/2022,OLTA-TMF,Maintenance - Water Damages,Refer to Code Enforcement,"SILVER SPRING 20906
(39.09303, -77.07354)"
39898,SILVER SPRING,20904,04/12/2019,09/12/2019,OLTA-TMF,Fee,Acceptable explanation,"SILVER SPRING 20904
(39.066507, -76.979098)"
34553,Mont. Village,20886,06/24/2014,07/07/2014,OLTA-LMF,Lease Agreement,Referred to a MD State Government agency,"Mont. Village 20886
(39.179257, -77.193738)"
32778,Wheaton,20902,09/14/2011,09/20/2011,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Wheaton 20902
(39.042613, -77.046758)"
31895,Poolesville,20837,08/17/2010,08/18/2010,OLTA-TSF,No Jurisdiction-Geographical,Referred to a MD State Government agency,"Poolesville 20837
(39.121439, -77.402558)"
32040,Silver Spring,20904,10/06/2010,12/07/2010,OLTA-TMF,Lease Agreement,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
48072,SILVER SPRING,20903,04/19/2023,05/10/2023,OLTA-TMF,Harassment,Acceptable explanation,"SILVER SPRING 20903
(39.018170000000055, -76.97994999999997)"
39453,GAITHERSBURG,20877,09/03/2018,09/14/2018,OLTA-LMF,Rent Payment History,Acceptable explanation,"GAITHERSBURG 20877
(39.140752, -77.187359)"
31470,Silver Spring,20902,01/28/2010,06/10/2010,OLTA-TSF,Security Deposit,Acceptable explanation,"Silver Spring 20902
(39.042613, -77.046758)"
39664,GERMANTOWN,20874,12/13/2018,01/18/2019,OLTA-TMF,Security Deposit,Complaint withdrawn,"GERMANTOWN 20874
(39.158483, -77.280856)"
31004,Silver Spring,20906,08/04/2009,08/14/2009,OLTA-TMF,Lease Agreement,Settlement Agreement,"Silver Spring 20906
(39.083452, -77.060664)"
38244,POTOMAC,20854,06/01/2018,08/17/2018,OLTA-TSF,Security Deposit,Refund (payments/deposits),"POTOMAC 20854
(39.038266, -77.203413)"
47680,GERMANTOWN,20874,01/10/2023,01/20/2023,OLTA-TMF,Maintenance - Infestation,Complaint withdrawn,"GERMANTOWN 20874
(39.18272, -77.27048)"
31963,Potomac,20854,09/13/2010,11/04/2010,OLTA-TSF,Security Deposit,Settlement Agreement,"Potomac 20854
(39.038266, -77.203413)"
38100,POTOMAC,20854,03/07/2018,04/09/2018,OLTA-TMF,Maintenance - Plumbing,Service performed or corrected,"POTOMAC 20854
(39.038266, -77.203413)"
30576,Poolesville,20832,12/18/2008,12/18/2008,OLTA-LSF,Fee,Non-jurisdiction-Geographic Location,"Poolesville 20832
(39.152328, -77.073205)"
36666,Gaithersburg,20878,08/04/2017,08/09/2017,OLTA-TMF,Maintenance - Infestation,Service performed or corrected,"Gaithersburg 20878
(39.114215, -77.239673)"
32069,Silver Spring,20904,10/13/2010,12/22/2010,OLTA-TMF,Rent Payment History,Service performed or corrected,"Silver Spring 20904
(39.066507, -76.979098)"
35678,Chevy Chase,20815,01/28/2016,06/07/2016,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Chevy Chase 20815
(38.982537, -77.079131)"
40055,GERMANTOWN,20874,06/20/2019,08/16/2019,OLTA-TSF,Lease Agreement-Early Termination,Acceptable explanation,"GERMANTOWN 20874
(39.158483, -77.280856)"
34382,Silver Spring,20906,03/27/2014,05/22/2014,OLTA-TMF,Quit and Vacate,Complaint withdrawn,"Silver Spring 20906
(39.083452, -77.060664)"
35584,Chevy Chase,20815,11/20/2015,11/30/2015,OLTA-LSF,N/A,Referred to a MD State Government agency,"Chevy Chase 20815
(38.982537, -77.079131)"
33681,Chevy Chase,20815,02/06/2013,02/19/2013,OLTA-TSF,Rent Increase,Settlement Agreement,"Chevy Chase 20815
(38.982537, -77.079131)"
40647,BETHESDA,20814,02/27/2020,03/26/2020,OLTA-TMF,Lease Agreement Tenant Rights,Other- no communication from tenant,"BETHESDA 20814
(39.003061, -77.102949)"
40829,ROCKVILLE,20850,07/02/2020,03/24/2021,OLTA-TMF,Security Deposit,Other- no communication from tenant,"ROCKVILLE 20850
(39.092462, -77.178614)"
32584,Germantown,20876,06/15/2011,08/05/2011,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Germantown 20876
(39.198155, -77.240725)"
39584,SILVER SPRING,20910,10/25/2018,11/01/2018,OLTA-TMF,Notice to Vacate,Acceptable explanation,"SILVER SPRING 20910
(39.001851, -77.034885)"
41371,SILVER SPRING,20902,05/21/2021,06/04/2021,OLTA-TMF,Maintenance- General,Acceptable explanation,"SILVER SPRING 20902
(39.042613, -77.046758)"
35446,Silver Spring,20902,09/21/2015,10/26/2015,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Silver Spring 20902
(39.042613, -77.046758)"
39821,MONTGOMERY VILLAGE,20886,03/05/2019,03/14/2019,OLTA-TMF,Maintenance - Mold/Mildew,Acceptable explanation,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
34249,Bethesda,20817,12/20/2013,04/09/2014,OLTA-TMF,Security Deposit,Settlement Agreement,"Bethesda 20817
(38.998099, -77.143306)"
33958,Silver Spring,20904,07/12/2013,08/26/2013,OLTA-TMF,Maintenance- General,Referred to a Montgomery County Agency,"Silver Spring 20904
(39.066507, -76.979098)"
38063,Rockville,20852,02/12/2018,11/14/2018,OLTA-TMF,Lease Agreement,Acceptable explanation,"Rockville 20852
(39.050009, -77.125351)"
35741,Takoma Park,20912,03/07/2016,03/15/2016,OLTA-TMF,Quit and Vacate,Non-jurisdiction-Geographic Location,"Takoma Park 20912
(38.982019, -77.000534)"
38161,CLARKSBURG,20871,04/13/2018,05/31/2018,OLTA-TSF,Maintenance- General,Acceptable explanation,"CLARKSBURG 20871
(39.250697, -77.27543)"
35816,Silver Spring,20904,04/26/2016,05/13/2016,OLTA-TMF,Rent Payment History,Referred to a Montgomery County Agency,"Silver Spring 20904
(39.066507, -76.979098)"
33357,Germantown,20874,07/26/2012,09/17/2012,OLTA-TMF,Rent Payment History,Acceptable explanation,"Germantown 20874
(39.158483, -77.280856)"
40792,ROCKVILLE,20852,06/12/2020,06/17/2020,OLTA-TMF,Noise,Acceptable explanation,"ROCKVILLE 20852
(39.050009, -77.125351)"
45166,POTOMAC,20854,06/06/2022,08/03/2022,OLTA-TMF,Maintenance- General,Other- no communication from tenant,"POTOMAC 20854
(39.038266, -77.203413)"
33241,Silver Spring,20904,05/24/2012,06/11/2012,OLTA-TMF,Rent Increase,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
32849,Silver Spring,20906,10/11/2011,11/14/2011,OLTA-TSF,Security Deposit,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
39931,SILVER SPRING,20902,04/24/2019,04/24/2019,OLTA-TSF,Walk through Inspections,Service performed or corrected,"SILVER SPRING 20902
(39.042613, -77.046758)"
35655,Rockville,20852,12/31/2015,03/08/2016,OLTA-TMF,Harassment,Acceptable explanation,"Rockville 20852
(39.050009, -77.125351)"
31611,Rockville,20850,04/16/2010,04/30/2010,OLTA-TMF,Rent Payment History,Acceptable explanation,"Rockville 20850
(39.092462, -77.178614)"
36791,Bethesda,20814,10/04/2017,11/27/2017,OLTA-TMF,Security Deposit,Acceptable explanation,"Bethesda 20814
(39.003061, -77.102949)"
31463,Silver Spring,20904,02/24/2010,03/10/2010,OLTA-TMF,Maintenance - Snow/Ice Removal,Service performed or corrected,"Silver Spring 20904
(39.066507, -76.979098)"
31119,Silver Spring,20910,09/11/2009,10/08/2009,OLTA-TMF,Submetering,Service performed or corrected,"Silver Spring 20910
(39.001851, -77.034885)"
31534,North Bethesda,20852,03/23/2010,04/15/2010,OLTA-TSF,Lease Agreement,Service performed or corrected,"North Bethesda 20852
(39.050009, -77.125351)"
34081,Silver Spring,20904,09/19/2013,11/21/2013,OLTA-TMF,Lease Agreement,Refund (payments/deposits),"Silver Spring 20904
(39.066507, -76.979098)"
41502,SILVER SPRING,20906,08/12/2021,08/25/2021,OLTA-TMF,Parking,Acceptable explanation,"SILVER SPRING 20906
(39.083452, -77.060664)"
45154,SILVER SPRING,20906,06/02/2022,08/12/2022,OLTA-TMF,Lease Agreement,Other- no communication from tenant,"SILVER SPRING 20906
(39.083452, -77.060664)"
39555,SILVER SPRING,20904,10/09/2018,10/22/2018,OLTA-TSF,Quit and Vacate,Acceptable explanation,"SILVER SPRING 20904
(39.066507, -76.979098)"
30845,Wheaton,20902,05/21/2009,06/24/2009,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Wheaton 20902
(39.042613, -77.046758)"
40844,SILVER SPRING,20906,07/23/2020,07/28/2020,OLTA-TSF,Eviction,Service performed or corrected,"SILVER SPRING 20906
(39.083452, -77.060664)"
31990,Germantown,20876,09/22/2010,11/23/2010,OLTA-TMF,Maintenance - Infestation,Goods delivered or replaced,"Germantown 20876
(39.198155, -77.240725)"
31969,Gaithersburg,20878,09/13/2010,10/08/2010,OLTA-TSF,Lease Agreement,Complaint withdrawn,"Gaithersburg 20878
(39.114215, -77.239673)"
39593,SILVER SPRING,209033327,10/25/2018,11/01/2018,OLTA-TSF,No Jurisdiction-Geographical,Non-jurisdiction-Geographic Location,"SILVER SPRING 209033327
(38.995351, -76.986722)"
32666,Silver Spring,20904,07/22/2011,08/09/2011,OLTA-TMF,Lease Agreement,Service performed or corrected,"Silver Spring 20904
(39.066507, -76.979098)"
39924,SILVER SPRING,20902,04/24/2019,08/21/2019,OLTA-TSF,Fee,Settlement Agreement,"SILVER SPRING 20902
(39.042613, -77.046758)"
36117,Silver Spring,20910,09/27/2016,10/22/2016,OLTA-TMF,Security Deposit,Refund/Rent Credit,"Silver Spring 20910
(39.001851, -77.034885)"
33614,Silver Spring,20904,12/19/2012,01/10/2013,OLTA-TMF,Quit and Vacate,Service performed or corrected,"Silver Spring 20904
(39.066507, -76.979098)"
32388,Germantown,20874,03/08/2011,03/09/2011,OLTA-TSF,Security Deposit,Referred to a MD State Government agency,"Germantown 20874
(39.158483, -77.280856)"
35178,Silver Spring,20910,05/18/2015,05/18/2015,OLTA-TMF,Fee,Complaint withdrawn,"Silver Spring 20910
(39.001851, -77.034885)"
43008,SILVER SPRING,20904,03/15/2022,04/14/2022,OLTA-TSF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20904
(39.066507, -76.979098)"
47814,BURTONSVILLE,20866,02/24/2023,03/23/2023,OLTA-TSF,Harassment,Complaint noted for the record,"BURTONSVILLE 20866
(39.10814, -76.93714)"
31730,Silver Spring,20902,06/08/2010,06/28/2010,OLTA-TMF,Lease Agreement,Service performed or corrected,"Silver Spring 20902
(39.042613, -77.046758)"
34832,Silver Spring,20910,11/04/2014,12/17/2014,OLTA-TSF,Security Deposit,Referred to a MD State Government agency,"Silver Spring 20910
(39.001851, -77.034885)"
31573,Silver Spring,20903,04/07/2010,04/15/2010,OLTA-LMF,Failure to Pay Rent,Referred to a MD State Government agency,"Silver Spring 20903
(39.016139, -76.982897)"
33312,Germantown,20875,06/26/2012,08/27/2012,OLTA-TSF,Security Deposit,Referred to a MD State Government agency,"Germantown 20875
(39.164892, -77.281299)"
39721,SILVER SPRING,20901,01/10/2019,02/25/2019,OLTA-TMF,Quit and Vacate,Service performed or corrected,"SILVER SPRING 20901
(39.020211, -77.009764)"
40434,SILVER SPRING,20906,12/05/2019,12/11/2019,OLTA-TMF,Harassment,Acceptable explanation,"SILVER SPRING 20906
(39.083452, -77.060664)"
45283,SILVER SPRING,20910,07/20/2022,10/04/2022,OLTA-TMF,Lease Agreement,Dismissed by Landlord-Tenant Commission,"SILVER SPRING 20910
(38.99693, -77.02914)"
36801,Silver Spring,20905,10/04/2017,12/20/2017,OLTA-TSF,Lease Agreement,Complaint withdrawn,"Silver Spring 20905
(39.10859, -76.99368)"
35441,Gaithersburg,20878,09/18/2015,10/28/2015,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Gaithersburg 20878
(39.114215, -77.239673)"
40536,BETHESDA,20814,01/16/2020,02/13/2020,OLTA-TMF,Security Deposit,Refund (payments/deposits),"BETHESDA 20814
(39.003061, -77.102949)"
41791,SILVER SPRING,20910,12/02/2021,07/05/2022,OLTA-TMF,Security Deposit,Acceptable explanation,"SILVER SPRING 20910
(39.001851, -77.034885)"
46633,SILVER SPRING,20902,12/01/2022,12/02/2022,OLTA-TMF,Maintenance - Mold/Mildew,Refer to Code Enforcement,"SILVER SPRING 20902
(39.03819, -77.04669)"
33499,Gaithersburg,20879,10/08/2012,10/22/2012,OLTA-TSF,Lease Agreement,Refund (payments/deposits),"Gaithersburg 20879
(39.169098, -77.182742)"
32291,Takoma Park,20912,01/25/2011,04/06/2011,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Takoma Park 20912
(38.982019, -77.000534)"
39847,SILVER SPRING,20906,03/22/2019,04/24/2019,OLTA-TSF,Fee,Acceptable explanation,"SILVER SPRING 20906
(39.083452, -77.060664)"
33289,Silver Spring,20904,06/15/2012,08/09/2012,OLTA-TSF,Security Deposit,Settlement Agreement,"Silver Spring 20904
(39.066507, -76.979098)"
35225,Bethesda,20814,06/05/2015,07/31/2015,OLTA-TMF,Lease Agreement,Settlement Agreement,"Bethesda 20814
(39.003061, -77.102949)"
33158,Silver Spring,20902,03/26/2012,03/28/2012,OLTA-TMF,Eviction,Acceptable explanation,"Silver Spring 20902
(39.042613, -77.046758)"
36234,Silver Spring,20904,11/28/2016,01/18/2017,OLTA-TMF,Ratio Utility Billing,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
36278,Silver Spring,20906,12/09/2016,06/26/2017,OLTA-TMF,Security Deposit,Complaint noted for the record,"Silver Spring 20906
(39.083452, -77.060664)"
42827,GERMANTOWN,20876,12/17/2021,12/30/2021,OLTA-TMF,Quit and Vacate,No jurisdiction,"GERMANTOWN 20876
(39.198155, -77.240725)"
36178,Silver Spring,20906,10/17/2016,01/11/2017,OLTA-TMF,Maintenance- General,Complaint noted for the record,"Silver Spring 20906
(39.083452, -77.060664)"
31646,Silver Spring,20902,05/05/2010,06/18/2010,OLTA-TMF,Fee,Acceptable explanation,"Silver Spring 20902
(39.042613, -77.046758)"
35227,Silver Spring,20910,06/05/2015,06/19/2015,OLTA-TMF,Rent Increase,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
35894,Germantown,20876,06/06/2016,07/06/2016,OLTA-TMF,Security Deposit,Acceptable explanation,"Germantown 20876
(39.198155, -77.240725)"
33161,Silver Spring,20910,03/26/2012,04/23/2012,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
41206,ROCKVILLE,20852,02/10/2021,07/21/2021,OLTA-TMF,Security Deposit,Refund/Rent Credit,"ROCKVILLE 20852
(39.050009, -77.125351)"
44085,SILVER SPRING,20904,04/21/2022,06/22/2022,OLTA-TSF,Rent Increase,Refund/Rent Credit,"SILVER SPRING 20904
(39.066507, -76.979098)"
30960,Silver Spring,20906,07/16/2009,08/17/2009,OLTA-TSF,Lease Agreement,Complaint withdrawn,"Silver Spring 20906
(39.083452, -77.060664)"
31377,Germantown,20874,01/14/2010,01/14/2010,OLTA-TSF,No Jurisdiction - Room Rental,Referred to a MD State Government agency,"Germantown 20874
(39.158483, -77.280856)"
35934,Bethesda,20814,06/24/2016,10/25/2016,OLTA-TSF,Security Deposit,Complaint withdrawn,"Bethesda 20814
(39.003061, -77.102949)"
36289,Silver Spring,20904,12/16/2016,01/31/2017,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20904
(39.066507, -76.979098)"
39680,SILVER SPRING,20904,12/26/2018,04/15/2019,OLTA-TMF,Lease Agreement Tenant Rights,Other- no communication from tenant,"SILVER SPRING 20904
(39.066507, -76.979098)"
39965,SILVER SPRING,20906,05/14/2019,05/21/2019,OLTA-TMF,Rent Increase,Complaint withdrawn,"SILVER SPRING 20906
(39.083452, -77.060664)"
40175,SILVER SPRING,20901,08/12/2019,08/14/2019,OLTA-TSF,Retaliatory Eviction,Acceptable explanation,"SILVER SPRING 20901
(39.020211, -77.009764)"
35645,Burtonsville,20866,12/22/2015,01/04/2016,OLTA-TSF,Maintenance - Electrical,Service performed or corrected,"Burtonsville 20866
(39.103016, -76.935049)"
42882,SILVER SPRING,20902,01/18/2022,02/01/2022,OLTA-TMF,Lease Agreement Tenant Rights,Duplicate Case,"SILVER SPRING 20902
(39.042613, -77.046758)"
40348,CHEVY CHASE,20815,10/14/2019,11/05/2019,OLTA-TMF,Maintenance - Infestation,Acceptable explanation,"CHEVY CHASE 20815
(38.982537, -77.079131)"
33866,Silver Spring,20906,05/15/2013,07/27/2013,OLTA-TMF,Eviction,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
40044,ROCKVILLE,20852,06/13/2019,06/18/2019,OLTA-TMF,Lease Agreement,Complaint noted for the record,"ROCKVILLE 20852
(39.050009, -77.125351)"
33577,Silver Spring,20902,11/28/2012,12/20/2012,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Silver Spring 20902
(39.042613, -77.046758)"
41535,MONTGOMERY VILLAGE,20886,08/25/2021,01/28/2022,OLTA-TSF,Lease Agreement-Early Termination,Acceptable explanation,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
36036,Silver Spring,20904,08/15/2016,08/23/2016,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20904
(39.066507, -76.979098)"
32033,Silver Spring,20904,10/05/2010,10/15/2010,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20904
(39.066507, -76.979098)"
36632,Gaithersburg,20879,07/20/2017,08/14/2017,OLTA-TMF,Lease Agreement,Refund/Rent Credit,"Gaithersburg 20879
(39.169098, -77.182742)"
40578,SILVER SPRING,20910,02/10/2020,02/29/2020,OLTA-TMF,Money Damage - General,Acceptable explanation,"SILVER SPRING 20910
(39.001851, -77.034885)"
38446,DERWOOD,208552625,08/28/2018,01/12/2019,OLTA-TMF,Security Deposit,Settlement Agreement,"DERWOOD 208552625
(39.134606, -77.141459)"
32293,Rockville,20850,01/25/2011,01/26/2011,OLTA-TMF,No Jurisdiction-Geographical,Non-jurisdiction-Geographic Location,"Rockville 20850
(39.092462, -77.178614)"
35340,Rockville,20851,08/11/2015,09/10/2015,OLTA-TMF,Lease Agreement,Acceptable explanation,"Rockville 20851
(39.07701, -77.123831)"
34398,Clarksburg,20871,04/03/2014,04/03/2014,OLTA-TSF,Harassment,Non-jurisdiction-Room Rental,"Clarksburg 20871
(39.250697, -77.27543)"
37993,Takoma Park,20912,01/04/2018,02/26/2018,OLTA-LMF,Lease Agreement,Referred to a Montgomery County Agency,"Takoma Park 20912
(38.982019, -77.000534)"
30796,Germantown,20874,04/22/2009,05/12/2009,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Germantown 20874
(39.158483, -77.280856)"
31777,Silver Spring,20906,06/24/2010,07/29/2010,OLTA-TMF,Maintenance - Mold/Mildew,Service performed or corrected,"Silver Spring 20906
(39.083452, -77.060664)"
32672,Germantown,20874,07/22/2011,10/25/2011,OLTA-TSF,Maintenance- General,Settlement Agreement,"Germantown 20874
(39.158483, -77.280856)"
31406,Rockville,20850,02/01/2010,04/26/2010,OLTA-TMF,Security Deposit,Settlement Agreement,"Rockville 20850
(39.092462, -77.178614)"
39776,SILVER SPRING,20910,02/14/2019,02/14/2019,OLTA-TSF,Security Deposit,Complaint withdrawn,"SILVER SPRING 20910
(39.001851, -77.034885)"
40401,MONTGOMERY VILLAGE,20886,11/07/2019,12/05/2019,OLTA-TSF,Fee,Complaint noted for the record,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
48109,GAITHERSBURG,20879,05/08/2023,05/08/2023,OLTA-TMF,Security Deposit,No jurisdiction,"GAITHERSBURG 20879
(39.161726300000055, -77.16756479999998)"
47952,SILVER SPRING,20901,03/06/2023,03/23/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20901
(39.00324, -77.00526)"
39610,GERMANTOWN,20874,11/14/2018,11/14/2018,OLTA-LMF,Fee,Duplicate Case,"GERMANTOWN 20874
(39.158483, -77.280856)"
33658,Germantown,20876,01/25/2013,02/07/2013,OLTA-TMF,Eviction,Complaint withdrawn,"Germantown 20876
(39.198155, -77.240725)"
31125,Takoma Park,20912,09/16/2009,10/15/2009,OLTA-TMF,Lease Agreement,Acceptable explanation,"Takoma Park 20912
(38.982019, -77.000534)"
38273,SILVER SPRING,20904,06/13/2018,10/23/2018,OLTA-TSF,Maintenance - Air Conditioning,Refund/Rent Credit,"SILVER SPRING 20904
(39.066507, -76.979098)"
32268,Gaithersburg,20878,01/12/2011,02/15/2011,OLTA-TMF,Fee,Settlement Agreement,"Gaithersburg 20878
(39.114215, -77.239673)"
35473,Rockville,20850,10/02/2015,02/09/2016,OLTA-TSF,Security Deposit,Acceptable explanation,"Rockville 20850
(39.092462, -77.178614)"
33028,Chevy Chase,20815,01/06/2012,02/24/2012,OLTA-TSF,Lease Agreement,Complaint withdrawn,"Chevy Chase 20815
(38.982537, -77.079131)"
39659,SILVER SPRING,20904,12/04/2018,02/19/2019,OLTA-TMF,Eviction,Other- no communication from tenant,"SILVER SPRING 20904
(39.066507, -76.979098)"
47725,SILVER SPRING,20904,01/25/2023,05/27/2023,OLTA-TMF,Rent Payment History,Acceptable explanation,"SILVER SPRING 20904
(39.07120240000006, -77.00107279999997)"
40193,CHEVY CHASE,20815,08/16/2019,10/11/2019,OLTA-TMF,Security Deposit,Refund (payments/deposits),"CHEVY CHASE 20815
(38.982537, -77.079131)"
45442,HIGHLAND,20777,09/27/2022,10/26/2022,OLTA-TSF,Quit and Vacate,Acceptable explanation,"HIGHLAND 20777
(39.17083, -76.96402)"
36841,Damascus,20872,10/19/2017,10/25/2017,OLTA-TSF,Lease Agreement,Complaint noted for the record,"Damascus 20872
(39.282424, -77.213985)"
41185,GERMANTOWN,20874,02/03/2021,02/09/2021,OLTA-TSF,Maintenance- General,Complaint noted for the record,"GERMANTOWN 20874
(39.158483, -77.280856)"
46543,GERMANTOWN,20874,11/01/2022,04/18/2023,OLTA-TSF,Security Deposit,Settlement Agreement,"GERMANTOWN 20874
(39.18272, -77.27048)"
36286,Silver Spring,20906,12/16/2016,06/15/2017,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Silver Spring 20906
(39.083452, -77.060664)"
38438,SILVER SPRING,20901,08/22/2018,10/15/2018,OLTA-LMF,Lease Agreement,Referred to a Montgomery County Agency,"SILVER SPRING 20901
(39.020211, -77.009764)"
40546,ROCKVILLE,20853,01/17/2020,01/22/2020,OLTA-TSF,Maintenance- General,Referred to a Montgomery County Agency,"ROCKVILLE 20853
(39.096485, -77.092945)"
40124,CHEVY CHASE,20815,07/25/2019,03/30/2021,OLTA-TMF,Lease Agreement,Other- no communication from tenant,"CHEVY CHASE 20815
(38.982537, -77.079131)"
32730,Germantown,20874,08/15/2011,09/02/2011,OLTA-TSF,Fee,Refund/Rent Credit,"Germantown 20874
(39.158483, -77.280856)"
